StaticData.ADD_TITLE: false | SIMILARITY_THRESHOLD: 0.4 | 
System: ecf

#Id	TextRank + POSRank	TextRank + POSRank + SimRank	TextRank + POSRank - SimRank
90428	3680	2429	875
125572	5	6	6
134483	16	11	10
165815	-1	-1	-1
172958	1	1	3
192574	8	13	13
196007	766	766	813
198043	369	369	369
198334	111	107	65
198731	362	212	283
199259	-1	-1	-1
199309	3518	3490	228
204329	509	641	536
205532	107	67	107
208667	3	1	1
221053	1420	6096	133
222824	1	1	1
222868	76	96	50
233808	-1	-1	-1
238970	-1	-1	-1
242950	2	2	2
250717	617	259	319
254833	1	1	1
255329	223	196	128
255347	36	36	57
255352	9	52	8
257926	2	2	2
258488	913	361	3171
259233	177	177	177
259389	73	71	214
265551	582	2613	22
266120	19	122	145
267481	14	21	25
270332	4	100	4
273135	67	67	11
282667	88	57	752
296107	-1	-1	-1
302394	3	3	21
302407	425	114	268
314558	92	92	92
316595	204	246	99
318075	170	170	170
327029	38	48	190
327060	1063	1423	-1
327379	3	1	1
327582	43	43	48
328772	5	9	1
328998	-1	-1	-1
328999	-1	-1	-1
329054	-1	-1	-1
331740	22	22	22
332852	2	1	2
337345	3453	1154	1219
337643	638	709	4091
342002	-1	-1	-1
342352	1	1	218
342782	5	5	5
369023	9	3	9
371768	4	4	4
406064	-1	-1	-1
408030	261	25	62
414448	-1	-1	-1
419902	-1	-1	-1
420433	52	70	32
426497	6	58	23
464701	1179	1013	3869
471541	-1	-1	-1
485482	22	207	18
