StaticData.ADD_TITLE: false | SIMILARITY_THRESHOLD: 0.2 | 
System: eclipse.jdt.core

#Id	TextRank + POSRank	TextRank + POSRank + SimRank	TextRank + POSRank - SimRank
29516	-1	-1	-1
42243	67	133	67
65738	-1	-1	-1
79809	200	126	14
110797	1	34	1
126180	-1	-1	-1
145202	1545	1792	2364
165346	7433	7510	3261
168331	2521	652	-1
228691	450	106	2905
291322	893	911	750
380501	1450	3266	1341
381358	290	267	100
385293	-1	-1	-1
388634	1302	2242	1389
396139	-1	-1	-1
396258	43	220	44
399567	1	1	2
401848	1453	1351	1603
405051	19	1	116
405889	88	-1	75
412882	96	21	64
413913	-1	-1	-1
415911	31	20	28
417388	-1	-1	-1
417669	97	277	132
418919	1	3	1
424718	1	3555	1
430451	46	8	22
456395	1501	519	46
