StaticData.ADD_TITLE: false | SIMILARITY_THRESHOLD: 0.1 | 
System: eclipse.jdt.debug

#Id	TextRank + POSRank	TextRank + POSRank + SimRank	TextRank + POSRank - SimRank
9122	-1	-1	-1
9649	-1	-1	-1
10096	2202	3399	1585
10811	10	10	494
10817	-1	-1	-1
12640	26	8	34
12665	1011	1383	-1
13015	891	891	892
13364	85	85	85
13957	-1	-1	-1
18306	677	658	570
21776	20	4	23
21823	1054	992	1014
22815	99	99	99
23328	6739	5808	997
24839	2458	494	709
27989	89	862	144
28195	7799	2801	7768
29036	1042	2885	613
29297	67	105	164
29683	238	259	392
30837	1031	572	3532
31110	2323	1478	2619
33534	-1	-1	-1
33893	450	448	450
34670	1667	5141	334
37918	-1	-1	-1
37942	402	468	139
40707	289	455	819
42984	-1	2625	-1
43418	1155	35	560
49068	8	21	9
49077	31	31	31
53115	38	190	56
53634	239	178	238
53929	145	112	272
53952	7226	5580	6230
53959	299	319	355
57257	-1	-1	-1
64984	-1	-1	-1
72169	14	205	6
76675	698	-1	442
85665	1347	1297	1365
86887	-1	-1	-1
90805	154	153	287
94047	1042	980	1248
94452	248	248	254
94474	-1	-1	-1
102427	50	31	86
105573	871	5715	446
108473	3655	3682	1633
112670	-1	1317	-1
120651	62	89	170
125771	4349	4665	4898
144253	1515	1018	4832
161364	3271	595	3024
165174	2666	1773	-1
171075	2289	329	25
183206	10	12	7
184862	1843	3634	1715
197011	256	253	-1
204455	314	519	676
206693	-1	-1	-1
208744	327	-1	385
212442	40	1731	60
217994	9	9	32
241394	24	24	234
255031	-1	-1	42
275614	18	21	13
297808	2035	142	84
323020	3413	3413	3413
335363	554	102	392
339414	1	1	1
343039	189	534	2368
371300	7	2	26
396795	48	96	38
400636	1698	1698	1478
401815	2318	2037	1086
421806	157	39	539
422016	87	138	768
428862	146	127	1121
432190	1	1	1
455199	585	651	-1
463252	3008	3008	3012
