SIMILARITY_THRESHOLD: 0.3
Repo: eclipse.jdt.ui

#Id	TextRank + POSRank	TextRank + POSRank + SimRank	TextRank + POSRank - SimRank
9517	2155	2439	1444
12044	-1	-1	-1
13243	2902	2088	1975
13916	213	213	15
13921	-1	-1	-1
14837	4137	5276	4142
17317	-1	-1	-1
22655	-1	-1	-1
24082	296	459	124
24271	-1	-1	-1
27194	290	290	290
28277	4178	3968	7335
28698	3494	3494	3494
30412	2842	7690	2534
31300	2	1	2
36427	47	38	24
38499	-1	-1	-1
41688	-1	-1	-1
42208	-1	-1	-1
43103	-1	-1	-1
45349	2133	2133	2133
46875	8911	9978	-1
47097	-1	-1	-1
47731	266	266	266
49352	-1	-1	-1
49619	-1	-1	-1
51093	147	131	129
51187	-1	-1	-1
52750	-1	-1	-1
52801	-1	-1	-1
53603	1427	126	1427
55349	7015	842	7015
58098	-1	5432	-1
62878	-1	-1	-1
63400	-1	-1	-1
63675	-1	-1	-1
64108	-1	6547	-1
66646	4	163	25
67274	322	273	1907
68586	701	1799	975
70005	-1	-1	-1
70079	4818	4818	4818
75843	1368	4104	2727
77193	1159	1159	1159
79793	-1	4204	1
80455	327	137	306
81172	110	110	843
82839	-1	-1	-1
84724	384	8	1327
88195	3360	3685	2660
88397	847	207	30
91306	5049	6150	5049
99330	-1	-1	-1
100155	-1	-1	-1
108247	12	30	71
111653	1433	-1	122
113731	9575	-1	-1
120560	-1	-1	-1
121057	-1	-1	-1
124182	609	137	668
125013	1083	95	1759
129354	-1	-1	-1
133731	1580	6074	944
141492	5	5	5
143171	-1	-1	-1
150249	-1	-1	-1
152142	606	247	1412
153044	11	23	20
153912	7	19	167
161282	2718	1779	3382
165689	4322	4627	-1
167590	2	40	3
172388	9031	8262	8630
178744	4278	4749	820
185043	4662	5561	-1
185113	123	143	203
186291	76	625	113
194175	32	32	4
195808	-1	-1	-1
201096	1	1	1
201718	-1	-1	-1
202129	118	124	64
215448	238	238	261
217126	218	177	262
224132	255	255	255
224183	-1	-1	-1
228506	16	15	332
228641	153	61	136
232773	2843	304	2670
233941	597	12	392
239695	127	26	165
239940	1338	-1	1331
243147	19	19	19
243284	-1	-1	-1
244431	1065	1064	7721
246635	12	1	7
248659	1	1	1
249549	-1	-1	-1
251356	5472	3806	1429
251824	-1	-1	-1
252415	4	2	129
252591	6726	-1	3609
252779	30	23	28
255448	47	51	150
255449	2	1	2
256087	5888	7462	4175
256574	-1	-1	-1
259093	-1	-1	-1
259413	22	498	140
261100	352	23	6
261198	4058	2640	2816
262389	6397	2342	563
262511	-1	-1	-1
262877	127	20	355
263751	9563	1324	6952
263935	-1	-1	-1
264504	244	354	1697
264999	3	3	5
266646	19	16	20
266831	-1	-1	-1
267358	71	14	16
267554	33	221	44
267616	8816	-1	214
267776	1216	188	775
271139	135	1244	318
272366	155	299	204
272567	590	624	592
274364	-1	-1	-1
275308	3452	449	4388
278201	2926	2648	2902
279124	9784	1514	6512
279981	4686	4686	7785
283697	-1	-1	-1
285852	34	18	34
286221	-1	-1	-1
286406	181	25	-1
287049	557	433	525
287078	7496	-1	6498
288121	1423	2123	43
289992	-1	-1	-1
290913	56	70	69
294322	-1	-1	-1
294763	1636	1698	1636
296229	142	1660	123
296781	20	14	13
296782	2	73	2
297280	-1	-1	4634
297593	138	93	1995
297663	35	12	162
297709	-1	-1	-1
298066	8085	8326	-1
298520	4630	4169	5973
299127	5148	3141	-1
300901	40	42	38
301242	-1	-1	8468
303313	-1	7775	-1
303705	12	13	36
304174	292	295	257
304792	69	14	168
304927	64	69	213
305255	5	2	20
306392	228	164	231
306646	86	4332	420
306970	1	1	1
308978	4	6	3
309977	169	483	203
311603	103	68	261
314354	-1	-1	-1
316155	1389	190	-1
317497	7583	2206	4785
318388	49	14	80
320916	3991	3991	2771
320983	1771	1979	-1
321385	4	4	4
321608	203	204	321
329248	284	204	1043
330057	12	12	19
331028	200	-1	291
331115	-1	-1	-1
333541	-1	-1	-1
333631	-1	-1	-1
334864	33	3	688
335132	325	355	175
335249	312	2355	581
338089	-1	-1	-1
338638	1888	1681	1385
338673	110	5	805
339000	1	1	1
340338	987	164	186
341109	2440	342	2175
342410	2986	737	283
342858	3083	-1	2554
352785	157	52	138
354766	-1	-1	-1
358823	-1	-1	-1
362404	62	59	49
364539	1182	1182	2486
369319	-1	-1	-1
370952	2701	2199	9069
372973	183	6	124
374920	22	24	22
377318	2	1	203
378068	184	258	232
383491	379	130	338
387536	15	21	198
388342	163	54	106
390546	396	353	142
391389	132	2715	22
393932	-1	-1	-1
394296	-1	-1	-1
395919	5740	5525	2636
396823	16	22	16
397842	29	29	25
398648	-1	-1	-1
401418	236	236	236
408072	9320	-1	9320
411641	1456	564	1520
416016	1986	2746	2802
416401	14	99	4
416998	1	2	1
419692	131	14	102
421383	-1	1203	-1
421506	-1	7958	3318
422506	300	3385	188
422792	1847	1847	1847
425109	51	55	42
427227	1	1	1
432125	770	405	1541
432781	890	180	11
434269	160	135	155
434791	3902	9602	-1
437398	9531	9523	8361
437847	756	449	3017
440930	147	382	104
442614	3063	3350	9678
443410	7353	7477	8513
460799	6032	859	4675
462948	2437	870	2269
465521	5293	4649	5704
466252	2	1	8
491756	40	367	68
492173	-1	-1	-1
