StaticData.ADD_TITLE: false | SIMILARITY_THRESHOLD: 0.8 | 
System: eclipse.jdt.ui

#Id	TextRank + POSRank	TextRank + POSRank + SimRank	TextRank + POSRank - SimRank
9517	2155	2155	1975
12044	-1	-1	-1
13243	2902	3260	1728
13916	213	20	213
13921	-1	-1	-1
14837	4137	5553	4137
17317	-1	-1	-1
22655	-1	-1	-1
24082	296	430	306
24271	-1	-1	-1
27194	290	290	290
28277	4178	4171	4747
28698	3494	3494	3494
30412	2842	1362	8831
31300	2	2	2
36427	47	81	18
38499	-1	-1	-1
41688	-1	-1	-1
42208	-1	-1	-1
43103	-1	-1	-1
45349	2133	2133	2133
46875	8911	8911	8911
47097	-1	-1	-1
47731	266	266	266
49352	-1	-1	-1
49619	-1	-1	-1
51093	147	142	129
51187	-1	-1	-1
52750	-1	-1	-1
52801	-1	-1	-1
53603	1427	1427	126
55349	7015	4100	7015
58098	-1	-1	-1
62878	-1	-1	-1
63400	-1	-1	-1
63675	-1	-1	-1
64108	-1	7267	-1
66646	4	4	270
67274	322	1973	240
68586	701	3228	1236
70005	-1	-1	-1
70079	4818	4818	4818
75843	1368	1368	4730
77193	1159	1159	1159
79793	-1	-1	4078
80455	327	137	116
81172	110	110	87
82839	-1	-1	5704
84724	384	2	101
88195	3360	3360	4186
88397	847	346	7
91306	5049	614	5049
99330	-1	-1	-1
100155	-1	-1	-1
108247	12	17	52
111653	1433	1433	1439
113731	9575	1709	9230
120560	-1	-1	-1
121057	-1	-1	-1
124182	609	2266	705
125013	1083	1083	1083
129354	-1	-1	-1
133731	1580	1581	1580
141492	5	5	17
143171	-1	-1	-1
150249	-1	-1	-1
152142	606	606	1167
153044	11	10	22
153912	7	207	26
161282	2718	1374	1188
165689	4322	4322	5049
167590	2	5	2
172388	9031	2552	-1
178744	4278	4278	700
185043	4662	3932	5037
185113	123	121	202
186291	76	76	158
194175	32	32	32
195808	-1	-1	-1
201096	1	1	5
201718	-1	-1	-1
202129	118	97	116
215448	238	238	326
217126	218	215	218
224132	255	255	255
224183	-1	-1	-1
228506	16	34	16
228641	153	94	153
232773	2843	232	2843
233941	597	1645	648
239695	127	18	206
239940	1338	8762	-1
243147	19	19	19
243284	-1	-1	-1
244431	1065	631	910
246635	12	12	11
248659	1	5	1
249549	-1	-1	-1
251356	5472	4702	5504
251824	-1	-1	-1
252415	4	1	4
252591	6726	-1	1871
252779	30	30	30
255448	47	55	50
255449	2	2	2
256087	5888	9821	3012
256574	-1	-1	-1
259093	-1	-1	-1
259413	22	15	584
261100	352	719	335
261198	4058	6498	4419
262389	6397	2473	6397
262511	-1	-1	-1
262877	127	474	127
263751	9563	1951	1710
263935	-1	-1	6221
264504	244	222	484
264999	3	3	3
266646	19	16	14
266831	-1	-1	-1
267358	71	70	16
267554	33	30	30
267616	8816	9771	8816
267776	1216	1046	689
271139	135	284	94
272366	155	154	196
272567	590	590	590
274364	-1	-1	-1
275308	3452	4919	3452
278201	2926	2751	2591
279124	9784	7267	8160
279981	4686	4505	7522
283697	-1	-1	-1
285852	34	34	19
286221	-1	-1	-1
286406	181	181	619
287049	557	557	702
287078	7496	8348	-1
288121	1423	1912	148
289992	-1	-1	-1
290913	56	132	53
294322	-1	-1	-1
294763	1636	1636	1797
296229	142	116	62
296781	20	14	20
296782	2	2	2
297280	-1	-1	-1
297593	138	184	4215
297663	35	35	35
297709	-1	-1	-1
298066	8085	8078	8085
298520	4630	4322	5687
299127	5148	-1	4410
300901	40	58	40
301242	-1	-1	4675
303313	-1	-1	7497
303705	12	57	9
304174	292	250	260
304792	69	69	247
304927	64	35	711
305255	5	14	8
306392	228	228	228
306646	86	86	39
306970	1	1	1
308978	4	6	4
309977	169	123	169
311603	103	103	183
314354	-1	-1	-1
316155	1389	1389	641
317497	7583	7583	3603
318388	49	14	95
320916	3991	3578	4793
320983	1771	1740	8020
321385	4	4	4
321608	203	203	132
329248	284	248	1020
330057	12	12	25
331028	200	61	1745
331115	-1	-1	-1
333541	-1	-1	-1
333631	-1	-1	9193
334864	33	133	30
335132	325	279	325
335249	312	226	3069
338089	-1	-1	-1
338638	1888	1534	1356
338673	110	95	5
339000	1	1	1
340338	987	1711	467
341109	2440	2440	214
342410	2986	2642	2986
342858	3083	2591	1479
352785	157	685	370
354766	-1	-1	-1
358823	-1	-1	-1
362404	62	71	46
364539	1182	789	2362
369319	-1	-1	-1
370952	2701	7681	2340
372973	183	133	13
374920	22	3	6
377318	2	2	484
378068	184	251	184
383491	379	264	4041
387536	15	16	187
388342	163	292	76
390546	396	46	4375
391389	132	27	421
393932	-1	-1	-1
394296	-1	-1	-1
395919	5740	465	5740
396823	16	15	16
397842	29	40	24
398648	-1	-1	-1
401418	236	236	236
408072	9320	7114	9139
411641	1456	1052	756
416016	1986	651	1753
416401	14	31	4
416998	1	1	1
419692	131	120	152
421383	-1	984	-1
421506	-1	-1	7435
422506	300	242	300
422792	1847	1847	1847
425109	51	40	41
427227	1	1	1
432125	770	540	492
432781	890	658	890
434269	160	132	190
434791	3902	8472	4236
437398	9531	7900	9109
437847	756	538	2730
440930	147	235	456
442614	3063	-1	3063
443410	7353	7770	5887
460799	6032	2646	6124
462948	2437	1017	6856
465521	5293	-1	3399
466252	2	2	1
491756	40	436	40
492173	-1	-1	-1
