StaticData.ADD_TITLE: false | SIMILARITY_THRESHOLD: 0.2 | 
System: eclipse.pde.ui

#Id	TextRank + POSRank	TextRank + POSRank + SimRank	TextRank + POSRank - SimRank
35888	-1	-1	-1
50018	99	99	2894
68606	-1	-1	-1
94366	-1	-1	-1
97605	288	125	294
108466	-1	-1	-1
108954	-1	-1	-1
109003	478	78	381
113004	-1	-1	-1
113870	8354	8148	8612
116919	-1	-1	-1
118694	40	40	52
119824	-1	-1	-1
119843	501	1535	481
121622	64	60	8
125913	519	386	575
128683	374	565	4006
129817	-1	9019	-1
130424	-1	-1	-1
134311	33	186	68
138093	41	16	22
138127	1772	1772	1772
138260	17	369	21
139037	3840	4028	3796
139526	-1	-1	-1
140381	-1	-1	-1
146912	-1	-1	-1
147298	1482	486	1268
148171	579	678	-1
148687	1085	2437	1110
149816	9649	7192	9786
150081	256	378	54
150305	-1	-1	-1
150916	858	1021	3731
151112	123	7	123
151502	845	746	759
152054	-1	-1	-1
152199	232	232	284
153093	189	189	507
154493	768	815	768
154739	4419	4744	4419
155070	38	29	33
155158	1253	1253	1253
158418	52	143	113
158945	9	104	1988
163384	67	57	101
164438	29	358	43
165672	-1	-1	7474
166680	5	11	16
166984	-1	-1	-1
168417	2	10	3
170474	-1	-1	-1
170678	-1	-1	-1
171962	744	522	1073
172675	437	26	3536
172721	-1	-1	-1
173072	207	985	201
173712	-1	-1	2732
175756	-1	-1	-1
179238	80	35	76
181091	762	279	184
181524	33	26	7
181883	274	97	215
181884	72	72	63
182075	5	5	11
182483	311	2582	790
183073	164	75	303
183250	12	12	10
183405	5771	2898	5410
183587	-1	-1	-1
183708	399	307	123
184644	-1	-1	-1
185955	27	71	1
187228	3987	3911	5165
191231	1	1	1
197077	394	2707	130
197817	7765	-1	7744
197906	4	23	20
198961	155	155	329
198965	1	1	42
199129	63	63	33
199896	560	721	158
201044	129	92	129
201304	28	30	26
201306	1	5	5
201369	-1	4040	-1
201880	24	9	69
201966	551	514	489
202272	49	101	463
203126	142	104	108
203993	845	7400	668
204719	-1	-1	-1
205493	129	122	109
206610	2647	5751	1173
206887	4945	-1	3596
207836	1374	1274	1385
208164	820	1890	902
209046	25	121	253
209138	56	60	47
209554	2700	2571	4184
210018	62	142	147
210181	465	465	465
212755	-1	-1	-1
215579	346	123	317
216703	1240	1446	1324
216840	52	643	2
216946	1	1	1
217772	23	23	23
218223	5530	152	807
220069	2765	8255	506
220235	368	33	2630
221019	-1	-1	-1
221655	244	233	945
221852	1130	780	2466
224447	-1	-1	-1
226788	1	1	1
228044	-1	-1	-1
228765	1347	1544	684
228840	9688	2008	3308
229070	456	507	346
229441	118	159	522
229584	1613	1669	1582
229624	779	427	260
229626	878	927	839
230248	1555	1953	1370
230447	160	102	106
231688	573	826	104
231977	-1	-1	-1
232463	2	107	1
232706	3462	3189	47
232771	3557	3223	1125
241503	89	-1	19
247663	2022	2981	2105
248519	273	383	250
251970	-1	-1	-1
252751	-1	-1	-1
252913	1918	1918	1918
256859	2289	-1	2304
258969	5578	5963	1560
260913	1291	1298	926
261474	-1	-1	-1
262918	167	184	156
264383	154	374	59
270549	6767	6767	5526
272107	-1	-1	-1
272641	346	340	350
272654	1119	9	1251
273049	87	85	104
274646	316	316	316
274678	20	20	11
274724	5	3455	4
280286	1	1	2
280630	203	203	203
292938	122	25	48
293474	-1	-1	-1
295577	-1	-1	-1
297115	23	25	3
302928	-1	3777	-1
307149	898	310	851
308547	66	65	30
312466	2	1	9
319268	157	1499	26
321624	5340	7660	206
321891	-1	-1	-1
322672	107	291	717
324773	218	218	243
342512	-1	-1	-1
367980	31	42	37
405015	-1	-1	-1
417603	-1	-1	-1
429902	146	215	24
435321	3	15	12
436418	4032	4360	3913
443114	3	2	13
443338	1576	417	3499
461083	614	295	799
465909	2	209	5
482171	-1	-1	-1
484244	-1	-1	-1
484548	105	183	3050
488805	-1	-1	-1
496382	2275	2275	2450
