StaticData.ADD_TITLE: false | SIMILARITY_THRESHOLD: 0.2 | 
System: tomcat70

#Id	TextRank + POSRank	TextRank + POSRank + SimRank	TextRank + POSRank - SimRank
33356	8735	8081	-1
37326	-1	-1	-1
38553	-1	-1	-1
41059	-1	-1	-1
42039	12	15	5
42503	28	80	184
42693	951	3973	880
43706	531	41	28
43868	28	1	1
46105	209	271	304
46915	171	190	6
47111	12	5	12
47378	-1	-1	-1
47413	-1	-1	-1
47568	-1	-1	-1
47744	99	1480	343
47820	12	164	22
48113	-1	-1	-1
48117	-1	-1	-1
48139	232	232	232
48172	2	1	1
48387	3	2	3
49118	442	895	522
49132	891	711	467
49144	30	230	350
49221	1	1	1
49290	1	2	9
49340	3367	2800	3278
49721	1735	1368	1735
50127	1	1	1
51641	2	2	1
51972	87	5	244
54115	2	952	2
